Name,State,City,Image
India Gate,Delhi,Delhi,india_gate_delhi_delhi.jpg
Humayun's Tomb,Delhi,Delhi,humayun_s_tomb_delhi_delhi.jpg
Akshardham Temple,Delhi,Delhi,akshardham_temple_delhi_delhi.jpg
Waste to Wonder Park,Delhi,Delhi,waste_to_wonder_park_delhi_delhi.jpg
Jantar Mantar,Delhi,Delhi,jantar_mantar_delhi_delhi.jpg
Chandni Chowk,Delhi,Delhi,chandni_chowk_delhi_delhi.jpg
Lotus Temple,Delhi,Delhi,lotus_temple_delhi_delhi.jpg
Red Fort,Delhi,Delhi,red_fort_delhi_delhi.jpg
Agrasen ki Baoli,Delhi,Delhi,agrasen_ki_baoli_delhi_delhi.jpg
Sunder Nursery,Delhi,Delhi,sunder_nursery_delhi_delhi.jpg
Garden of Five Senses,Delhi,Delhi,garden_of_five_senses_delhi_delhi.jpg
Lodhi Garden,Delhi,Delhi,lodhi_garden_delhi_delhi.jpg
National Gallery of Modern Art,Delhi,Delhi,national_gallery_of_modern_art_delhi_delhi.jpg
National Zoological Park ,Delhi,Delhi,national_zoological_park_delhi_delhi.jpg
Qutub Minar,Delhi,Delhi,qutub_minar_delhi_delhi.jpg
National Science Centre,Delhi,Delhi,national_science_centre_delhi_delhi.jpg
Marine Drive,Maharastra,Mumbai,marine_drive_maharastra_mumbai.jpg
Gateway of India,Maharastra,Mumbai,gateway_of_india_maharastra_mumbai.jpg
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Maharastra,Mumbai,chhatrapati_shivaji_maharaj_vastu_sangrahalaya_maharastra_mumbai.jpg
Sanjay Gandhi National Park,Maharastra,Mumbai,sanjay_gandhi_national_park_maharastra_mumbai.jpg
Siddhivinayak Temple,Maharastra,Mumbai,siddhivinayak_temple_maharastra_mumbai.jpg
Mahalaxmi Temple,Maharastra,Mumbai,mahalaxmi_temple_maharastra_mumbai.jpg
Haji Ali Dargah,Maharastra,Mumbai,haji_ali_dargah_maharastra_mumbai.jpg
Chowpatty Beach,Maharastra,Mumbai,chowpatty_beach_maharastra_mumbai.jpg
Essel World,Maharastra,Mumbai,essel_world_maharastra_mumbai.jpg
